,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
3,3,Vaini,-21.2,-175.2,78.8,89,20,5.75,TO,1613224920,Paradise First Hotel
9,9,Yulara,-25.2406,130.9889,73.4,68,90,8.05,AU,1613224920,Sails in the Desert
10,10,Rikitea,-23.1203,-134.9692,79.14,77,0,14.74,PF,1613224920,Pension Maro'i
12,12,Atuona,-9.8,-139.0333,78.37,78,6,13.35,PF,1613224920,Hôtel Hiva Oa Hanakee Lodge
22,22,Geraldton,-28.7667,114.6,73.4,88,40,4.61,AU,1613224921,Ocean Centre Hotel
26,26,Busselton,-33.65,115.3333,66.99,70,44,1.01,AU,1613224922,The Sebel Busselton
33,33,Sal Rei,16.1833,-22.9167,75.2,60,20,26.46,CV,1613224923,Hotel Riu Karamboa
34,34,Bintulu,3.1667,113.0333,77.0,94,40,2.3,MY,1613224923,Fairfield by Marriott Bintulu Paragon
36,36,Port Macquarie,-31.4333,152.9167,69.8,100,90,9.22,AU,1613224923,Sails Port Macquarie by Rydges
37,37,Puerto Ayora,-0.7393,-90.3518,78.01,91,100,8.59,EC,1613224923,Hotel Solymar Galapagos
42,42,Bukene,-4.2333,32.8833,74.32,79,100,5.82,TZ,1613224924,
43,43,Cuamba,-14.8031,36.5372,79.09,87,100,2.42,MZ,1613224924,Daania Residence
44,44,Marzuq,14.4,46.4667,78.89,18,0,4.97,YE,1613224924,
46,46,Cockburn Town,21.4612,-71.1419,77.74,79,0,22.44,TC,1613224924,Turks Head Inne
51,51,Auki,-8.7676,160.7034,78.33,86,98,8.57,SB,1613224925,Auki Lodge
56,56,Katherine,-14.4667,132.2667,77.0,94,90,6.91,AU,1613224925,ibis Styles Katherine
59,59,Camaná,-16.6228,-72.7111,77.13,61,65,10.4,PE,1613224925,Hotel de Turistas
60,60,Cape Town,-33.9258,18.4232,77.0,65,0,19.57,ZA,1613224807,Atlanticview Cape Town Boutique Hotel
66,66,Hermanus,-34.4187,19.2345,78.01,71,0,11.01,ZA,1613224926,Misty Waves Boutique Hotel
70,70,Ubari,26.5921,12.7805,78.46,16,0,5.66,LY,1613224926,فندق أوباري
72,72,Port Alfred,-33.5906,26.891,79.0,88,94,3.0,ZA,1613224926,MyPond Hotel
75,75,Mar del Plata,-38.0023,-57.5575,69.8,94,90,20.71,AR,1613224887,Hotel Las Rocas
78,78,Viedma,-40.8135,-62.9967,75.99,74,89,13.18,AR,1613224927,Casa Crespo Hotel Boutique
83,83,Port Hedland,-20.3167,118.5667,78.8,73,0,8.05,AU,1613224927,Hedland Hotel
