,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Morón,-34.6534,-58.6198,82.0,65,88,1.99,AR,1613226152
1,East London,-33.0153,27.9116,82.4,69,0,6.91,ZA,1613226152
2,Puerto Ayora,-0.7393,-90.3518,80.6,78,20,6.91,EC,1613226152
3,Mataura,-46.1927,168.8643,57.0,74,100,1.99,NZ,1613226152
4,Cape Town,-33.9258,18.4232,78.8,57,0,18.41,ZA,1613225954
5,Bubaque,11.2833,-15.8333,79.34,59,0,6.91,GW,1613226152
6,Saint Paul Harbor,57.79,-152.4072,34.95,84,98,17.16,US,1613226152
7,Jamestown,42.097,-79.2353,19.0,53,75,10.36,US,1613225979
8,Arraial do Cabo,-22.9661,-42.0278,82.4,74,75,5.75,BR,1613226152
9,Castro,-24.7911,-50.0119,74.23,71,3,5.82,BR,1613225999
10,Geraldton,-28.7667,114.6,73.4,88,75,4.61,AU,1613226152
11,Ponta do Sol,32.6667,-17.1,63.0,68,0,5.01,PT,1613226152
12,Along,28.1667,94.7667,59.68,52,0,1.66,IN,1613226152
13,Tuktoyaktuk,69.4541,-133.0374,-16.6,76,1,6.91,CA,1613226152
14,Rikitea,-23.1203,-134.9692,79.14,77,0,14.74,PF,1613226152
15,Te Anau,-45.4167,167.7167,51.78,76,100,2.64,NZ,1613226152
16,New Norfolk,-42.7826,147.0587,55.99,74,25,1.66,AU,1613226152
17,Lavrentiya,65.5833,-171.0,0.97,91,100,13.13,RU,1613226152
18,Udayagiri,20.1333,84.3833,63.18,57,18,1.83,IN,1613226153
19,Fort Nelson,58.8053,-122.7002,-20.2,76,1,3.44,CA,1613226153
20,Saskylakh,71.9167,114.0833,-25.69,78,98,1.57,RU,1613226153
21,Panabá,21.2833,-88.2667,76.69,82,0,7.29,MX,1613226153
22,Saint-Joseph,-21.3667,55.6167,84.2,65,0,27.63,RE,1613226153
23,Punta Arenas,-53.15,-70.9167,46.4,87,90,14.97,CL,1613226075
24,Ushuaia,-54.8,-68.3,44.6,81,90,14.97,AR,1613225981
25,Mahébourg,-20.4081,57.7,82.4,74,40,13.8,MU,1613225918
26,San Andrés,12.5847,-81.7006,82.4,69,20,6.91,CO,1613225891
27,Kavaratti,10.5669,72.642,81.52,59,0,2.35,IN,1613226153
28,Port Alfred,-33.5906,26.891,79.0,88,94,1.99,ZA,1613226153
29,Torrington,41.8007,-73.1212,19.0,56,91,4.97,US,1613225900
30,Faanui,-16.4833,-151.75,81.0,73,5,7.27,PF,1613226153
31,Yellowknife,62.456,-114.3525,-14.8,76,90,6.91,CA,1613226153
32,Guane,22.2025,-84.0875,79.3,71,0,12.39,CU,1613226153
33,Forsytheganj,52.6333,29.7333,12.24,95,100,17.78,BY,1613226153
34,Vaini,-21.2,-175.2,78.8,89,20,5.75,TO,1613226153
35,Port Lincoln,-34.7333,135.8667,60.6,80,0,11.01,AU,1613226154
36,Grindavik,63.8424,-22.4338,41.0,81,75,42.57,IS,1613226154
37,Manono,-7.3,27.4167,84.07,69,70,4.16,CD,1613226154
38,Severo-Kuril'sk,50.6789,156.125,24.44,92,82,9.37,RU,1613226154
39,Srednekolymsk,67.45,153.6833,-23.51,83,0,7.14,RU,1613226154
40,Imeni Poliny Osipenko,52.4201,136.4853,6.15,95,95,1.05,RU,1613226154
41,Boa Vista,2.8197,-60.6733,86.0,54,75,17.27,BR,1613226010
42,Arona,28.0996,-16.681,71.6,56,20,20.71,ES,1613226154
43,Beringovskiy,63.05,179.3167,-5.15,91,100,23.06,RU,1613226154
44,Tasiilaq,65.6145,-37.6368,32.0,100,90,46.04,GL,1613226154
45,Avarua,-21.2078,-159.775,75.2,100,40,1.14,CK,1613226154
46,Wheatley,51.7473,-1.1394,33.8,47,90,18.41,GB,1613226154
47,Souillac,-20.5167,57.5167,82.4,74,40,13.8,MU,1613226154
48,Kununurra,-15.7667,128.7333,80.6,94,75,8.05,AU,1613226154
49,Jiaozuo,35.2397,113.2331,54.64,74,100,5.5,CN,1613226154
50,Iqaluit,63.7506,-68.5145,3.2,72,90,16.11,CA,1613226154
51,Santander,43.4647,-3.8044,61.0,77,40,4.61,ES,1613226069
52,Ancud,-41.8697,-73.8203,57.2,58,75,10.36,CL,1613226154
53,Bandarbeyla,9.4942,50.8122,75.99,66,1,13.65,SO,1613226154
54,Kloulklubed,7.0419,134.2556,77.0,88,75,11.65,PW,1613226154
55,Albany,42.6001,-73.9662,12.0,45,85,1.99,US,1613226154
56,Buala,-8.145,159.5921,79.88,84,99,10.36,SB,1613226155
57,Canutama,-6.5339,-64.3831,77.58,94,100,2.06,BR,1613226155
58,Bambous Virieux,-20.3428,57.7575,82.99,74,40,13.8,MU,1613226155
59,Nanortalik,60.1432,-45.2371,35.4,81,100,7.36,GL,1613226155
60,Norman Wells,65.282,-126.8329,-23.8,76,1,3.44,CA,1613226155
61,Saldanha,-33.0117,17.9442,77.0,57,46,13.8,ZA,1613226020
62,Vostok,46.4856,135.8833,15.57,96,39,4.56,RU,1613226155
63,Atuona,-9.8,-139.0333,78.37,78,6,13.35,PF,1613226155
64,Hilo,19.7297,-155.09,66.2,82,40,3.49,US,1613225573
65,Barrow,71.2906,-156.7887,-0.4,71,90,9.22,US,1613226155
66,Nishihara,26.1842,127.7558,68.0,94,75,11.5,JP,1613226155
67,Chokurdakh,70.6333,147.9167,-22.13,78,0,4.52,RU,1613226155
68,Saint-Philippe,-21.3585,55.7679,84.2,65,0,27.63,RE,1613226155
69,George Town,5.4112,100.3354,86.0,58,20,10.36,MY,1613226155
70,Talnakh,69.4865,88.3972,-23.55,85,100,3.18,RU,1613226155
71,Qaqortoq,60.7167,-46.0333,42.8,31,75,24.16,GL,1613226155
72,Kokopo,-4.352,152.2633,78.37,83,78,5.61,PG,1613226155
73,Hobart,-42.8794,147.3294,57.2,82,44,6.91,AU,1613225905
74,Upernavik,72.7868,-56.1549,-1.19,88,90,10.11,GL,1613226155
75,Chilliwack,49.1747,-121.9443,28.4,50,100,12.66,CA,1613226156
76,Newcastle,-32.9272,151.7765,70.0,83,75,13.8,AU,1613226156
77,Busselton,-33.65,115.3333,66.99,71,44,1.01,AU,1613226156
78,Karachi,24.9056,67.0822,75.2,27,0,5.75,PK,1613225972
79,San Cristobal,7.7669,-72.225,78.8,78,40,2.3,VE,1613226156
80,General Roca,-39.0333,-67.5833,82.4,34,0,10.36,AR,1613226156
81,Puyang,29.4603,119.8861,53.29,88,8,3.0,CN,1613226156
82,Mar del Plata,-38.0023,-57.5575,69.01,100,90,16.11,AR,1613226156
83,Bermeo,43.4209,-2.7215,60.01,67,20,3.44,ES,1613226156
84,Altea,38.5989,-0.0514,66.0,58,19,4.0,ES,1613226156
85,Qaanaaq,77.484,-69.3632,2.5,72,0,7.16,GL,1613226156
86,Clyde River,70.4692,-68.5914,-7.6,84,100,8.05,CA,1613226156
87,Kalemie,-5.9475,29.1947,79.68,72,7,2.48,CD,1613226156
88,Hasaki,35.7333,140.8333,46.4,81,20,4.61,JP,1613226156
89,Epe,6.5841,3.9834,91.2,56,22,8.63,NG,1613226156
90,Bluff,-46.6,168.3333,57.0,74,100,1.99,NZ,1613226156
91,Butaritari,3.0707,172.7902,81.41,77,46,7.63,KI,1613226156
92,Nizhneangarsk,55.7833,109.55,-12.82,81,79,2.42,RU,1613226156
93,Lakes Entrance,-37.8811,147.981,62.01,86,52,3.74,AU,1613226156
94,Kamphaeng Phet,16.25,99.5,81.23,35,10,2.3,TH,1613226156
95,Mahīshādal,22.1833,87.9833,69.73,62,0,7.54,IN,1613226157
96,Ribeira Grande,38.5167,-28.7,62.6,88,75,26.46,PT,1613226157
97,Port Elizabeth,-33.918,25.5701,80.6,78,40,16.11,ZA,1613226157
98,Hudson Bay,52.85,-102.3842,-32.06,82,0,3.8,CA,1613226157
99,Tjøme,59.1109,10.3933,28.0,36,0,3.44,NO,1613226157
100,Tiksi,71.6872,128.8694,-13.31,90,100,7.54,RU,1613226157
101,Stornoway,58.2093,-6.3865,39.2,45,75,20.71,GB,1613226157
102,Khatanga,71.9667,102.5,-28.73,85,88,9.69,RU,1613226157
103,Chiang Khong,20.2613,100.4046,69.8,83,0,3.44,TH,1613226157
104,Jalu,29.0331,21.5482,70.66,23,0,1.16,LY,1613226157
105,Carnarvon,-24.8667,113.6333,80.6,100,75,9.22,AU,1613226157
106,Marawi,7.9986,124.2928,78.01,90,100,1.99,PH,1613226157
107,Xining,36.6167,101.7667,34.56,59,0,6.62,CN,1613226157
108,Mina,26.0011,-100.5299,39.2,93,90,3.44,MX,1613226157
109,Pevek,69.7008,170.3133,-18.81,89,100,5.44,RU,1613226157
110,Porto-Novo,6.4965,2.6036,91.4,70,40,13.8,BJ,1613226157
111,Koidu,8.4167,-10.8333,104.97,18,0,1.99,SL,1613226157
112,Haapiti,-17.5667,-149.8667,77.0,73,40,2.3,PF,1613226157
113,Hithadhoo,-0.6,73.0833,82.94,75,100,12.1,MV,1613226157
114,Pontianak,-0.0333,109.3333,80.6,89,40,10.36,ID,1613226157
115,La Ronge,55.1001,-105.2842,-40.0,67,0,3.8,CA,1613226157
116,Shibetsu,43.659,145.132,29.05,92,100,4.79,JP,1613226158
117,San Quintín,30.4833,-115.95,53.24,86,54,6.91,MX,1613226158
118,Hermanus,-34.4187,19.2345,78.01,71,0,11.01,ZA,1613226158
119,Nemuro,43.3236,145.575,29.7,94,100,6.51,JP,1613225898
120,Nome,64.5011,-165.4064,26.6,59,1,11.5,US,1613225882
121,Baraboo,43.4711,-89.7443,-5.01,77,90,4.61,US,1613226158
122,Baza,37.4907,-2.7726,63.0,22,84,6.93,ES,1613226158
123,Broken Hill,-31.95,141.4333,69.8,37,0,10.36,AU,1613226158
124,Makkah al Mukarramah,21.4267,39.8261,84.87,40,63,13.94,SA,1613226158
125,Mount Isa,-20.7333,139.5,87.8,58,90,6.91,AU,1613226158
126,São João da Barra,-21.6403,-41.0511,84.2,65,0,2.3,BR,1613226158
127,Hambantota,6.1241,81.1185,82.4,89,40,3.44,LK,1613226158
128,Kapaa,22.0752,-159.319,66.99,94,75,9.22,US,1613226158
129,Esperance,-33.8667,121.9,64.4,72,80,10.36,AU,1613226158
130,Kieta,-6.2167,155.6333,79.86,79,90,4.32,PG,1613226158
131,Novobeysugskaya,45.472,39.8861,28.0,91,81,16.13,RU,1613226158
132,Aklavik,68.2191,-135.0107,-18.4,76,75,3.44,CA,1613226158
133,Fukuechō,32.6881,128.8419,61.97,72,16,10.09,JP,1613226159
134,Whitehorse,60.7161,-135.0538,-25.6,68,1,2.3,CA,1613226159
135,Paamiut,61.994,-49.6678,21.58,93,100,26.02,GL,1613226159
136,Spring Hill,28.4769,-82.5255,69.8,88,90,5.75,US,1613226159
137,Arrondissement de Lons-le-Saunier,46.75,5.75,32.0,55,0,13.8,FR,1613226159
138,Port Moresby,-9.4431,147.1797,78.8,89,20,5.75,PG,1613226159
139,Hong Kong,22.2855,114.1577,66.0,80,0,3.0,HK,1613226092
140,Matane,48.8286,-67.522,15.8,62,97,11.5,CA,1613226159
141,Fortuna,40.5982,-124.1573,48.99,93,90,4.61,US,1613226159
142,Dikson,73.5069,80.5464,-25.49,87,100,10.71,RU,1613226159
143,Lebu,-37.6167,-73.65,60.33,76,11,15.32,CL,1613226159
144,Wiwilí,13.6268,-85.8254,62.6,100,20,0.74,NI,1613226159
145,Sittwe,20.15,92.9,72.28,69,0,11.18,MM,1613226159
146,Alice Springs,-23.7,133.8833,71.6,83,75,8.05,AU,1613226159
147,Torbay,47.6666,-52.7314,28.0,74,75,18.41,CA,1613226159
148,Bilibino,68.0546,166.4372,-17.34,83,62,6.8,RU,1613226159
149,Bela Vista do Paraíso,-22.9967,-51.1906,77.0,78,75,5.75,BR,1613226159
150,Isangel,-19.55,169.2667,77.77,81,0,5.28,VU,1613226159
151,Labuhan,-6.8844,112.2051,78.71,84,100,8.03,ID,1613226159
152,São Filipe,14.8961,-24.4956,75.52,57,0,13.15,CV,1613226159
153,Grand Gaube,-20.0064,57.6608,82.99,67,11,7.0,MU,1613226160
154,Port Hardy,50.6996,-127.4199,32.0,86,90,16.11,CA,1613226160
155,Nabire,-3.3667,135.4833,77.14,87,81,3.33,ID,1613226160
156,Beira,-19.8436,34.8389,75.2,100,75,6.91,MZ,1613226160
157,Thompson,55.7435,-97.8558,-41.8,66,75,3.89,CA,1613226160
158,Umm Hājar,13.2954,19.6966,98.15,9,0,1.59,TD,1613226160
159,Khor,47.8861,134.9464,19.78,97,99,2.53,RU,1613226160
160,Kirkland Lake,48.1446,-80.0377,-20.2,76,6,2.62,CA,1613226073
161,Guerrero Negro,27.9769,-114.0611,56.79,79,65,11.63,MX,1613226160
162,Tambura,5.6,27.4667,103.89,10,34,3.44,SS,1613226160
163,Adeje,28.1227,-16.726,71.6,56,20,20.71,ES,1613226160
164,Kutum,14.2,24.6667,84.18,13,0,3.67,SD,1613226160
165,Inta,66.0317,60.1659,-25.87,86,22,1.59,RU,1613226160
166,Nagato,34.3833,131.2,51.8,87,75,13.8,JP,1613226160
167,Lompoc,34.6391,-120.4579,48.2,87,1,9.22,US,1613226160
168,Leningradskiy,69.3833,178.4167,-14.96,86,100,4.16,RU,1613226160
169,Kaeo,-35.1,173.7833,64.99,93,5,1.99,NZ,1613226160
170,Bredasdorp,-34.5322,20.0403,86.0,42,2,16.11,ZA,1613226160
171,Chapais,49.7834,-74.8492,-5.8,77,90,8.05,CA,1613226161
172,Jinchang,38.4953,102.1739,37.17,67,87,1.16,CN,1613226161
173,Kashary,49.04,41.0056,21.25,78,100,19.39,RU,1613226161
174,Oryol,52.9658,36.0803,5.41,93,100,6.8,RU,1613226059
175,Hargeisa,9.56,44.065,75.94,26,0,15.1,SO,1613226161
176,Kavieng,-2.5744,150.7967,82.65,76,100,9.71,PG,1613226161
177,Zeven,53.3,9.2833,30.0,64,0,3.0,DE,1613226161
178,Urdoma,61.7533,48.5442,-2.42,91,100,8.12,RU,1613226161
179,Solnechnyy,50.7214,136.6319,13.17,95,100,1.57,RU,1613226161
180,Yar-Sale,66.8333,70.8333,-23.33,87,90,2.64,RU,1613226161
181,Nantucket,41.2835,-70.0995,28.0,63,1,10.36,US,1613226110
182,Nikolskoye,59.7035,30.7861,12.99,85,75,6.71,RU,1613226161
183,Tromsø,69.6496,18.957,23.0,86,90,2.3,NO,1613226161
184,Freeport,40.6576,-73.5832,28.0,43,90,11.5,US,1613226078
185,Ahipara,-35.1667,173.1667,60.44,89,1,4.21,NZ,1613226161
186,Ayorou,14.7308,0.9174,98.69,8,0,11.52,NE,1613226161
187,Xochistlahuaca,16.7833,-98.25,67.28,75,0,3.11,MX,1613226161
188,Lüderitz,-26.6481,15.1594,70.34,73,18,5.86,NA,1613226161
189,Bandi̇̄pur,27.9333,84.4167,54.93,59,18,1.95,NP,1613226161
190,Maniitsoq,65.4167,-52.9,12.43,92,66,10.63,GL,1613226161
191,Kikwit,-5.041,18.8162,92.68,43,56,3.02,CD,1613226161
192,Kargasok,59.0556,80.8572,-5.01,92,100,8.28,RU,1613226161
193,Asău,46.4333,26.4,25.0,32,0,11.23,RO,1613226162
194,Olafsvik,64.8945,-23.7142,40.87,77,100,26.53,IS,1613226162
195,Holme,56.1138,10.1725,35.6,55,0,2.3,DK,1613226162
196,Provideniya,64.3833,-173.3,6.35,91,100,22.73,RU,1613226162
197,Preeceville,51.95,-102.6677,-34.78,81,0,3.91,CA,1613226162
198,Egvekinot,66.3167,-179.1667,-16.29,91,100,18.3,RU,1613226162
199,Cabo San Lucas,22.8909,-109.9124,57.2,77,1,10.69,MX,1613225920
200,Morbegno,46.1383,9.57,34.0,62,99,1.99,IT,1613226162
201,Sitka,57.0531,-135.33,26.6,50,1,6.64,US,1613226162
202,Port Blair,11.6667,92.75,82.4,74,75,8.05,IN,1613226162
203,Hamilton,39.1834,-84.5333,25.0,74,90,9.22,US,1613225931
204,Yenagoa,4.9247,6.2642,89.58,60,89,6.13,NG,1613226162
205,Tessalit,20.1986,1.0114,92.48,9,0,5.82,ML,1613226162
206,Charters Towers,-20.1,146.2667,76.3,72,76,6.85,AU,1613226162
207,San Patricio,28.017,-97.5169,33.8,80,90,13.8,US,1613226162
208,Rincon,32.296,-81.2354,44.6,93,90,8.05,US,1613225897
209,Coquimbo,-29.9533,-71.3436,62.6,88,90,6.91,CL,1613226162
210,Isaka,-3.9,32.9333,73.65,81,100,6.49,TZ,1613226163
211,Bakel,14.905,-12.4568,102.25,7,0,9.06,SN,1613226163
212,Hua Hin,12.5707,99.9588,81.0,85,11,10.36,TH,1613226163
213,Kahului,20.8947,-156.47,69.8,78,1,3.44,US,1613225968
214,Gorom-Gorom,14.4439,-0.2361,98.82,8,0,11.63,BF,1613226163
215,Caravelas,-17.7125,-39.2481,84.47,56,51,9.71,BR,1613226163
216,Fort Frances,48.5999,-93.4003,-36.4,87,90,3.69,CA,1613226163
217,Mildura,-34.2,142.15,66.2,45,0,5.75,AU,1613226163
218,Huarmey,-10.0681,-78.1522,76.14,60,81,5.57,PE,1613226163
219,Macomb,40.4592,-90.6718,-0.99,84,90,17.27,US,1613226163
220,Sinnamary,5.3833,-52.95,81.48,80,54,15.93,GF,1613226163
221,Tura,25.5198,90.2201,65.61,43,0,2.84,IN,1613226163
222,Aykhal,66.0,111.5,-29.16,80,53,2.24,RU,1613226163
223,Paka,4.6374,103.4368,80.01,89,82,4.61,MY,1613226163
224,Sanāwad,22.1833,76.0667,77.0,29,0,4.61,IN,1613226163
225,Ostrovnoy,68.0531,39.5131,-4.86,90,22,5.17,RU,1613226068
226,Kemin,42.7846,75.6892,39.24,70,100,3.56,KG,1613226163
227,Yerbogachën,61.2767,108.0108,-26.52,86,71,1.81,RU,1613226163
228,Bethel,41.3712,-73.414,19.99,45,1,8.05,US,1613226163
229,La Foa,-21.7108,165.8276,73.4,88,0,4.61,NC,1613226163
230,Nguru,12.8791,10.4526,94.12,10,0,9.01,NG,1613226164
231,Khovd,48.0056,91.6419,8.47,88,0,1.52,MN,1613226164
232,Maltahöhe,-24.8333,16.9833,76.06,49,81,4.09,NA,1613226164
233,Campo de Criptana,39.4046,-3.1249,56.26,45,99,7.96,ES,1613226164
234,Husavik,66.0449,-17.3389,39.2,60,20,23.02,IS,1613226164
235,Mossamedes,-15.1961,12.1522,86.0,48,20,27.63,AO,1613226164
236,Saint Anthony,45.0205,-93.218,-5.8,59,40,6.91,US,1613226164
237,Taltal,-25.4,-70.4833,71.65,58,0,7.43,CL,1613226164
238,Jánosháza,47.1194,17.165,28.4,54,75,13.8,HU,1613226164
239,Huaihua,27.5494,109.9592,59.43,71,99,2.71,CN,1613226164
240,Oistins,13.0667,-59.5333,84.2,54,20,23.02,BB,1613226164
241,Gladstone,-23.85,151.25,78.8,69,100,8.05,AU,1613226164
242,Codrington,-38.2667,141.9667,54.41,82,1,4.88,AU,1613226164
243,Penzance,50.1186,-5.5371,42.01,100,90,17.27,GB,1613226164
244,Salym,60.0625,71.4789,-0.44,93,100,3.2,RU,1613226164
245,Ben Gardane,33.1378,11.2197,66.63,48,1,13.0,TN,1613226164
246,Nizhnyaya Poyma,56.1622,97.1933,-7.08,90,100,4.54,RU,1613226164
247,Nelson Bay,-32.7167,152.15,69.01,83,75,13.8,AU,1613226164
248,Yulara,-25.2406,130.9889,73.4,68,90,9.22,AU,1613226165
249,Bridgetown,13.1,-59.6167,84.2,54,20,23.02,BB,1613226165
250,Praia da Vitória,38.7333,-27.0667,64.4,77,75,37.89,PT,1613226165
251,Panjāb,34.388,67.0233,20.98,77,0,0.78,AF,1613226165
252,Ilo,-17.6394,-71.3375,77.0,65,0,17.27,PE,1613226165
253,Mt. Pleasant,32.7941,-79.8626,43.0,100,90,4.61,US,1613226023
254,Bam,29.106,58.357,67.78,21,0,6.96,IR,1613226165
255,Ilulissat,69.2167,-51.1,10.4,85,75,4.61,GL,1613226165
256,Bantry,51.6833,-9.45,53.6,71,100,14.97,IE,1613226165
257,Yārāda,17.65,83.2667,73.4,78,20,3.44,IN,1613226165
258,Chui,-33.6971,-53.4616,74.98,84,100,7.83,UY,1613226006
259,Ossora,59.2353,163.0719,-10.52,80,0,7.85,RU,1613226165
260,Promyshlennaya,54.9159,85.6385,-11.2,64,100,4.47,RU,1613226165
261,Odesa,46.4775,30.7326,23.0,46,83,26.84,UA,1613225963
262,Katsuura,35.1333,140.3,57.99,71,40,12.66,JP,1613226165
263,Kiruna,67.8557,20.2251,17.6,73,40,5.75,SE,1613225968
264,Port-Gentil,-0.7193,8.7815,89.6,66,40,16.11,GA,1613226165
265,Lesnoy,57.6198,63.0784,17.6,98,100,3.56,RU,1613226165
266,Klaksvík,62.2266,-6.589,37.4,70,75,33.38,FO,1613226165
267,Bayeux,-7.125,-34.9322,80.6,100,75,6.91,BR,1613226064
268,Isla Vista,34.4133,-119.861,52.0,71,1,3.44,US,1613226165
269,Zilair,52.2332,57.4392,24.58,96,100,10.31,RU,1613226165
270,Gualaquiza,-3.4,-78.55,71.31,73,58,0.74,EC,1613226165
271,Yangi Marg`ilon,40.4272,71.7189,51.8,50,100,4.61,UZ,1613226166
272,Lima,-12.0432,-77.0282,73.4,78,0,6.91,PE,1613225882
273,Novopokrovka,49.8425,36.5477,12.0,85,75,20.13,UA,1613226166
274,Jarosław,50.0162,22.6778,26.01,92,100,15.97,PL,1613226166
275,Kosa,59.9445,54.9977,2.17,94,100,9.13,RU,1613226166
276,Chardara,41.2547,67.9692,57.25,51,0,7.67,KZ,1613226166
277,Kumul,42.8,93.45,36.79,74,99,2.08,CN,1613226166
278,Upata,8.0086,-62.3989,81.39,57,17,11.61,VE,1613226166
279,Manhattan,40.7834,-73.9662,26.6,33,1,5.75,US,1613226166
280,Koutsouras,35.0339,25.9469,59.9,66,18,10.33,GR,1613226166
281,Kalāleh,37.3807,55.4916,64.4,48,0,6.91,IR,1613226166
282,Yarim,14.298,44.3779,62.83,38,0,6.11,YE,1613226077
283,Omboué,-1.5746,9.2618,82.92,73,100,8.01,GA,1613226166
284,Māngrol,21.1167,70.1167,72.95,76,0,12.95,IN,1613226166
285,Tahoua,14.8888,5.2692,96.8,4,0,9.22,NE,1613226166
286,Nampula,-15.1165,39.2666,86.0,62,75,11.5,MZ,1613226166
287,Tomatlán,19.9333,-105.25,59.07,82,63,4.23,MX,1613226166
288,Changping,40.2186,116.2197,44.01,93,100,2.24,CN,1613226166
289,Regina,50.4501,-104.6178,-34.6,67,1,3.44,CA,1613226167
290,Gamba,-2.65,10.0,78.26,83,100,3.4,GA,1613226167
291,Kalmunai,7.4167,81.8167,77.97,87,100,9.86,LK,1613226167
292,Kurchum,48.5722,83.6542,1.11,93,11,0.98,KZ,1613226167
293,Matiguás,12.8373,-85.4622,62.6,100,20,1.52,NI,1613226167
294,Amahai,-3.3333,128.9167,80.2,80,100,3.27,ID,1613226167
295,Longyearbyen,78.2186,15.6401,10.4,61,75,12.66,SJ,1613226167
296,Thessalon,46.2501,-83.5666,1.4,66,40,6.91,CA,1613226167
297,Kargat,55.1956,80.2811,-6.68,89,100,8.55,RU,1613226128
298,Sechura,-5.5569,-80.8222,79.03,61,69,10.78,PE,1613226167
299,Eldorado,-23.7869,-54.2836,79.74,67,2,3.02,BR,1613226167
300,Bathsheba,13.2167,-59.5167,84.2,54,20,23.02,BB,1613226167
301,Rawson,-43.3002,-65.1023,80.04,51,45,21.47,AR,1613225992
302,Naze,28.3667,129.4833,65.17,88,30,20.22,JP,1613226167
303,Hitiaa,-17.6,-149.3,77.0,73,40,2.3,PF,1613226167
304,Haines Junction,60.7522,-137.5108,-27.4,68,0,0.96,CA,1613226167
305,Dakar,14.6937,-17.4441,73.4,53,0,16.11,SN,1613226002
306,Kruisfontein,-34.0033,24.7314,80.92,62,100,11.7,ZA,1613226168
307,Mbandaka,0.0487,18.2603,94.14,40,39,3.4,CD,1613226168
308,São Gabriel da Cachoeira,-0.1303,-67.0892,80.6,89,40,4.61,BR,1613226168
309,Nhulunbuy,-12.2333,136.7667,80.6,83,40,5.75,AU,1613226168
310,Qui Nhon,13.7667,109.2333,67.39,80,70,8.3,VN,1613225948
311,Forestville,38.8451,-76.875,30.2,64,90,9.22,US,1613225978
312,Heidelberg,-26.5048,28.3592,77.0,46,0,3.44,ZA,1613225948
313,Baykit,61.67,96.37,-20.42,83,99,1.28,RU,1613226168
314,Vila Velha,-20.3297,-40.2925,86.0,65,75,9.22,BR,1613226168
315,Muros,42.7762,-9.0603,57.99,88,100,18.01,ES,1613226168
316,Dwārka,22.2394,68.9678,72.01,75,0,9.62,IN,1613226168
317,Kiryat Gat,31.61,34.7642,66.99,52,0,3.0,IL,1613225941
318,Río Gallegos,-51.6226,-69.2181,62.6,34,0,19.57,AR,1613226081
319,Ketchikan,55.3422,-131.6461,35.6,34,1,4.61,US,1613226168
320,Cabra,37.4725,-4.4421,66.2,55,0,1.14,ES,1613226168
321,Isetskoye,56.4858,65.3226,19.29,97,100,7.05,RU,1613226168
322,Pokhara,28.2333,83.9833,59.58,54,60,2.24,NP,1613226168
323,Ulladulla,-35.35,150.4667,61.0,94,40,5.75,AU,1613226168
324,Bodden Town,19.2833,-81.25,80.6,74,40,11.5,KY,1613226168
325,Safi,32.2994,-9.2372,68.88,47,0,17.47,MA,1613226108
